"Bus","No","Time (abs)","State","ID (hex)","DLC","Data (hex)","ASCII"
"USB-to-CAN compact  CAN-1","97","20:54:45.687","      ","581","8","43 00 18 01 81 01 00 40","C......@"
"USB-to-CAN compact  CAN-1","98","20:54:45.687","      ","601","8","40 00 18 02 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","99","20:54:45.688","      ","581","8","4F 00 18 02 FF 01 00 00","O......."
"USB-to-CAN compact  CAN-1","100","20:54:45.688","      ","601","8","40 00 18 03 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","101","20:54:45.689","      ","581","8","4B 00 18 03 00 00 00 00","K......."
"USB-to-CAN compact  CAN-1","102","20:54:45.689","      ","601","8","40 00 18 05 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","103","20:54:45.690","      ","581","8","4B 00 18 05 64 00 00 00","K...d..."
"USB-to-CAN compact  CAN-1","104","20:54:45.690","      ","601","8","40 00 1A 00 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","105","20:54:45.691","      ","581","8","4F 00 1A 00 01 00 00 00","O......."
"USB-to-CAN compact  CAN-1","106","20:54:45.691","      ","601","8","40 00 1A 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","107","20:54:45.692","      ","581","8","43 00 1A 01 10 00 41 60","C.....A`"
"USB-to-CAN compact  CAN-1","108","20:54:45.692","      ","601","8","40 01 18 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","109","20:54:45.693","      ","581","8","43 01 18 01 81 02 00 40","C......@"
"USB-to-CAN compact  CAN-1","110","20:54:45.693","      ","601","8","40 01 18 02 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","111","20:54:45.694","      ","581","8","4F 01 18 02 FF 02 00 00","O......."
"USB-to-CAN compact  CAN-1","112","20:54:45.694","      ","601","8","40 01 18 03 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","113","20:54:45.695","      ","581","8","4B 01 18 03 00 00 00 00","K......."
"USB-to-CAN compact  CAN-1","114","20:54:45.695","      ","601","8","40 01 18 05 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","115","20:54:45.696","      ","581","8","4B 01 18 05 64 00 00 00","K...d..."
"USB-to-CAN compact  CAN-1","116","20:54:45.696","      ","601","8","40 01 1A 00 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","117","20:54:45.697","      ","581","8","4F 01 1A 00 02 00 00 00","O......."
"USB-to-CAN compact  CAN-1","118","20:54:45.697","      ","601","8","40 01 1A 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","119","20:54:45.698","      ","581","8","43 01 1A 01 10 00 41 60","C.....A`"
"USB-to-CAN compact  CAN-1","120","20:54:45.698","      ","601","8","40 01 1A 02 00 00 00 00","@......."
